	Angolo(gradi)	Angolo_errore(gradi)	Differenz_Masse(g)	Dif_Masse_errore(g)
0	-100.0	0.5	-0.24	0.02
1	-80.0	0.5	-0.40	0.02
2	-60.0	0.5	-0.52	0.02
3	-40.0	0.5	-0.54	0.02
4	-20.0	0.5	-0.54	0.02
5	0.0	0.5	-0.46	0.02
6	20.0	0.5	-0.26	0.02
7	40.0	0.5	-0.08	0.02
8	60.0	0.5	0.10	0.02
9	80.0	0.5	0.30	0.02
10	100.0	0.5	0.46	0.02
